stock,features,n_features,mae,mse,rmse,r2,time
Amrize_AMRZ,volume,1,0.005912959852406531,5.201167430099107e-05,0.007211911972631881,-0.9658904517254279,0.09393882751464844
Amrize_AMRZ,parkinson_vol,1,0.003865009657166279,3.2180624904550496e-05,0.00567279692079229,-0.21633429572575524,0.18811535835266113
Amrize_AMRZ,return,1,0.005962522409232889,5.4233756530905684e-05,0.007364357170242742,-1.0498787158497125,0.10243940353393555
Amrize_AMRZ,log_return,1,0.005943248149364469,5.3806242735810143e-05,0.007335273869175584,-1.0337199342097372,0.08983659744262695
Amrize_AMRZ,abs_log_return,1,0.005302608289906531,4.044605774998093e-05,0.006359721515127917,-0.5287436870515756,0.08428096771240234
Amrize_AMRZ,range_t,1,0.0056965732346916376,5.270817597401436e-05,0.007260039667523474,-0.9922161950707293,0.08311009407043457
Amrize_AMRZ,body,1,0.005783504472208279,4.9843921882928784e-05,0.007060022796204612,-0.8839556969295772,0.08778166770935059
Amrize_AMRZ,upper_wick,1,0.0062580610605486794,5.7053151262256725e-05,0.007553353643399515,-1.1564436602876262,0.12879395484924316
Amrize_AMRZ,lower_wick,1,0.006267698190482889,5.680063465283537e-05,0.00753661957729295,-1.1468992647642149,0.10184621810913086
Amrize_AMRZ,open_lag_1,1,0.006387431281418806,6.53280036867273e-05,0.008082574075548413,-1.469209084383842,0.11047863960266113
Amrize_AMRZ,open_lag_2,1,0.006136865903129332,6.416016125863318e-05,0.008010003823883805,-1.4250680274122085,0.07245635986328125
Amrize_AMRZ,open_lag_3,1,0.005995521330760911,6.271301090903989e-05,0.007919154683994995,-1.3703699410169716,0.07193708419799805
Amrize_AMRZ,high_lag_1,1,0.006098317383392489,5.689297732692488e-05,0.0075427433554990375,-1.1503895500457233,0.08220982551574707
Amrize_AMRZ,high_lag_2,1,0.0060340698504977525,5.683729888325441e-05,0.007539051590435922,-1.1482850663456738,0.08011698722839355
Amrize_AMRZ,high_lag_3,1,0.0059248490445767,5.563144790736437e-05,0.007458649201253828,-1.1027073964943335,0.06626701354980469
Amrize_AMRZ,low_lag_1,1,0.006117591643260911,5.885980657875621e-05,0.007672014505901055,-1.224729991846802,0.07944846153259277
Amrize_AMRZ,low_lag_2,1,0.006252511462339858,6.277955797375557e-05,0.007923355221984911,-1.3728852270729024,0.08243894577026367
Amrize_AMRZ,low_lag_3,1,0.005995521330760911,5.9296412794239094e-05,0.007700416403951094,-1.2412324406088757,0.07741665840148926
Amrize_AMRZ,close_lag_1,1,0.005944123304445121,5.52860815184063e-05,0.00743546108310751,-1.089653548574144,0.06667351722717285
Amrize_AMRZ,close_lag_2,1,0.006001946084050384,5.682253949853925e-05,0.007538072664716045,-1.147727204406507,0.0681607723236084
Amrize_AMRZ,close_lag_3,1,0.005899150031418806,5.6177269795680304e-05,0.007495149751384578,-1.1233378809577532,0.07376933097839355
Amrize_AMRZ,volume_lag_1,1,0.00619886137378811,5.635577076341085e-05,0.007507048072538955,-1.1300846998748773,0.05374741554260254
Amrize_AMRZ,volume_lag_2,1,0.006243834646814426,5.753576939639031e-05,0.007585233641516279,-1.1746852261374818,0.055768728256225586
Amrize_AMRZ,volume_lag_3,1,0.006023557565482889,5.6122487984344904e-05,0.007491494375913587,-1.121267287359684,0.12402105331420898
Amrize_AMRZ,ctc_vol_lag_1,1,0.0023111279208159106,1.060244488127301e-05,0.003256139567228808,0.5992583311888773,0.12299942970275879
Amrize_AMRZ,ctc_vol_lag_2,1,0.00318928036975291,1.4897328037317163e-05,0.003859705693095934,0.43692420329900294,0.07005763053894043
Amrize_AMRZ,ctc_vol_lag_3,1,0.0039081955563068675,1.842393246984684e-05,0.004292310854288962,0.30362878310541463,0.06411242485046387
Amrize_AMRZ,parkinson_vol_lag_1,1,0.00466993928783992,4.378964845806283e-05,0.00661737474064019,-0.655121719211383,0.07213473320007324
Amrize_AMRZ,parkinson_vol_lag_2,1,0.004802954373533815,4.608373969519885e-05,0.006788500548368458,-0.7418317149783664,0.07528018951416016
